base_score,[482.01291709]
RevolvingUtilizationOfUnsecuredLines,Score
"(-inf, 0.0991]",47.698467775375335
"(0.0991, 0.298]",14.49060565692536
"(0.298, 0.465]",-2.748812513438692
"(0.465, 0.983]",-23.25441838970779
"(0.983, 1.0]",-10.308975388173586
"(1.0, inf]",-44.12111061640001
age,Score
"(-inf, 36.0]",-4.092288089572139
"(36.0, 54.0]",-2.190133832798588
"(54.0, 61.0]",1.9073212442824274
"(61.0, 74.0]",7.931268298649305
"(74.0, inf]",13.51803909629423
DebtRatio,Score
"(-inf, 0.0175]",33.50342823363979
"(0.0175, 0.402]",0.7758852410108874
"(0.402, 1.477]",-8.519227032047713
"(1.477, inf]",3.8373434797671124
MonthlyIncome,Score
"(-inf, 0.11]",21.388247152427578
"(0.11, 5598.875]",-3.543154107547197
"(5598.875, inf]",3.3873662175853445
NumberOfOpenCreditLinesAndLoans,Score
"(-inf, 1.0]",-7.177307757048579
"(1.0, 3.0]",-2.8207717921644573
"(3.0, 5.0]",-0.45905806656625087
"(5.0, 17.0]",1.0566262860103226
"(17.0, inf]",3.8952158220649777
NumberOfTime30-59DaysPastDueNotWorse,Score
"(-inf, 0.0]",5.518631886071809
"(0.0, 1.0]",-13.668060000021367
"(1.0, 2.0]",-21.501851730643967
"(2.0, inf]",-24.229906061017584
NumberOfTimes90DaysLate,Score
"(-inf, 0.0]",3.8397170349265224
"(0.0, 1.0]",-28.53674162319354
"(1.0, 2.0]",-37.02286935555512
"(2.0, inf]",-39.168114985400116
NumberRealEstateLoansOrLines,Score
"(-inf, 0.0]",-10.60084246038388
"(0.0, 1.0]",5.18435449325334
"(1.0, 2.0]",16.685617715889105
"(2.0, 4.0]",10.442133094656919
"(4.0, inf]",-7.8782166740864925
NumberOfTime60-89DaysPastDueNotWorse,Score
"(-inf, 0.0]",1.0419654257685105
"(0.0, 1.0]",-11.56400812405752
"(1.0, 2.0]",-14.565939574081902
"(2.0, inf]",-15.082308646597728
NumberOfDependents,Score
"(-inf, 0.0]",14.74917675907217
"(0.0, 1.0]",-13.667727485696577
"(1.0, 2.0]",-12.401983172265572
"(2.0, inf]",-11.136371973397495
